EVI.1,EVI.2,EVI.3,EVI.4,EVI.5,EVI.6,EVI.7,EVI.8,EVI.9,EVI.10,EVI.11,EVI.12,EVI.13,EVI.14,EVI.15,EVI.16,EVI.17,EVI.18,EVI.19,EVI.20,EVI.21,EVI.22,EVI.23,mean,max,min,staD,median,sum,longitude,latitude,ano_safra
0.2402375,0.24005,0.2410875,0.2324875,0.21895,0.2159125,0.234975,0.25915,0.2841,0.3016125,0.2929375,0.3106125,0.3626875,0.4145625,0.468775,0.4581,0.3895625,0.3245375,0.258775,0.2306375,0.2344,0.234625,0.237175,0.2906934783,0.468775,0.2159125,0.0772687559,0.258775,6.68595,-52.443888,-12.335313,2009_2010
0.277275,0.2843875,0.2918625,0.2869125,0.2580375,0.24685,0.2554375,0.2755375,0.3171375,0.3474125,0.3531125,0.3691,0.4060625,0.444825,0.4806375,0.4614375,0.3944375,0.33815,0.2865125,0.2636,0.2612375,0.2489125,0.232875,0.3209456522,0.4806375,0.232875,0.0737406308,0.2869125,7.38175,-52.441643,-12.335313,2009_2010
0.3820375,0.4136625,0.4273375,0.40605,0.3732875,0.33985,0.334425,0.3676375,0.41045,0.4165125,0.4061875,0.396075,0.3951375,0.419325,0.4514875,0.4552875,0.4232375,0.399025,0.38065,0.3706375,0.3799125,0.388,0.3929625,0.3969206522,0.4552875,0.334425,0.0299006118,0.396075,9.129175,-52.439397,-12.335313,2009_2010
0.530925,0.5530375,0.5555375,0.52275,0.4912375,0.4965875,0.5239,0.5986625,0.65595,0.6537625,0.6174125,0.5722375,0.5347375,0.5111125,0.5113125,0.489375,0.46765,0.474425,0.4733125,0.4729375,0.4828375,0.51825,0.5514,0.5330152174,0.65595,0.46765,0.0554519499,0.52275,12.25935,-52.437153,-12.335313,2009_2010
0.5433625,0.5598375,0.5826375,0.596575,0.60185,0.6186875,0.612675,0.60845,0.6284125,0.6074125,0.5826875,0.5833,0.555425,0.52445,0.5226125,0.5208625,0.51895,0.5351375,0.541875,0.5343625,0.5404375,0.5479125,0.56205,0.5665201087,0.6284125,0.51895,0.0353483486,0.5598375,13.0299625,-52.434908,-12.335313,2009_2010
0.5085,0.5256625,0.5457375,0.5625875,0.5814,0.6039625,0.604125,0.5974625,0.6057875,0.590175,0.573225,0.578475,0.5553,0.524325,0.5231125,0.5215125,0.5248625,0.5445875,0.5568,0.547125,0.5422125,0.555025,0.563975,0.5580842391,0.6057875,0.5085,0.0296673181,0.5553,12.8359375,-52.432662,-12.335313,2009_2010
0.4914125,0.503175,0.52575,0.551975,0.5685375,0.5926375,0.5968125,0.5902625,0.5791625,0.5505125,0.53885,0.5495875,0.5599,0.5499375,0.5461,0.5384375,0.526825,0.5383625,0.5437625,0.53135,0.5284,0.5365,0.541625,0.546951087,0.5968125,0.4914125,0.0260921634,0.5437625,12.579875,-52.430417,-12.335313,2009_2010
0.4719625,0.488925,0.506,0.523575,0.5284875,0.5312375,0.5327,0.5304125,0.51715,0.5019875,0.5029625,0.5046375,0.5051125,0.501675,0.4912375,0.4874125,0.4833875,0.479075,0.476875,0.4710125,0.485075,0.515325,0.53375,0.5030423913,0.53375,0.4710125,0.020612492,0.5029625,11.569975,-52.428173,-12.335313,2009_2010
0.4410125,0.470575,0.4855125,0.5040375,0.5107125,0.4864875,0.47915,0.4599875,0.42995,0.436875,0.44155,0.4605625,0.49285,0.5012625,0.506025,0.5111125,0.5037375,0.4914375,0.476725,0.4672375,0.4788,0.4910625,0.4955,0.4792244565,0.5111125,0.42995,0.0245923418,0.4855125,11.0221625,-52.425928,-12.335313,2009_2010
0.3574375,0.3435,0.3468875,0.352175,0.375675,0.3949875,0.3972125,0.3775125,0.3326,0.2889375,0.272025,0.3008875,0.3712875,0.4504875,0.5007125,0.5015375,0.4675125,0.428025,0.3912875,0.386725,0.4178125,0.4454125,0.4561625,0.389426087,0.5015375,0.272025,0.0627783873,0.386725,8.9568,-52.423682,-12.335313,2009_2010
